#      Train        Test
     0.33042       0.3275 
     0.48008       0.5244 
     0.54316       0.4671 
     0.58816       0.5792 
     0.61984       0.6432 
     0.64586        0.648 
     0.67008       0.6359 
     0.68606       0.7184 
     0.70064       0.7327 
     0.70812       0.7105 
     0.71758       0.6709 
     0.72426       0.7519 
     0.73224       0.7361 
     0.74224       0.7658 
     0.74252       0.7649 
     0.75966       0.7374 
      0.7644       0.7672 
     0.76514       0.7872 
     0.77038        0.812 
     0.77448       0.8033 
      0.7819       0.8062 
     0.78902       0.8125 
     0.78838        0.776 
      0.7959       0.7941 
     0.79746       0.8152 
      0.7991        0.838 
     0.80282         0.79 
     0.80708       0.8189 
     0.80708       0.7746 
      0.8138       0.8322 
     0.81238       0.8388 
     0.81422       0.8317 
     0.81584       0.7902 
      0.8219       0.7763 
     0.82112       0.8497 
     0.82814       0.8367 
      0.8254       0.8514 
      0.8351       0.8393 
     0.83102       0.8474 
     0.83538       0.8564 
      0.8332       0.8403 
     0.83456       0.8185 
      0.8388       0.8446 
      0.8455       0.8604 
     0.83772       0.8528 
     0.84008       0.8568 
     0.84544       0.8587 
     0.84494       0.8561 
      0.8476       0.8493 
      0.8478       0.8663 
     0.85138       0.8332 
      0.8528        0.841 
     0.85344       0.8686 
     0.84626       0.8632 
     0.85382        0.861 
     0.85444       0.8552 
     0.85406       0.8725 
     0.85382       0.8667 
     0.85364       0.8624 
     0.86014       0.8706 
     0.89208       0.8998 
      0.8998       0.9017 
     0.90224       0.9026 
     0.90348       0.9054 
      0.9033       0.9052 
     0.90562       0.9061 
     0.90748       0.9066 
     0.90866       0.9089 
      0.9078       0.9054 
     0.90926       0.9093 
     0.91172       0.9082 
     0.91252       0.9074 
     0.91368       0.9097 
     0.91172       0.9088 
      0.9141       0.9105 
     0.91544       0.9066 
     0.91724       0.9057 
     0.91778       0.9084 
      0.9168       0.9062 
      0.9168       0.9065 
      0.9179       0.9073 
      0.9169       0.9107 
     0.92056       0.9081 
     0.91934       0.9092 
     0.91976       0.9086 
     0.92034       0.9132 
     0.92042       0.9109 
      0.9216        0.913 
     0.91964       0.9112 
     0.92436       0.9115 
     0.92524       0.9131 
     0.92276       0.9093 
     0.92274       0.9122 
      0.9229       0.9134 
     0.92348       0.9129 
     0.92592       0.9112 
      0.9252       0.9143 
     0.92696       0.9099 
     0.92446       0.9133 
     0.92688       0.9147 
     0.92762       0.9151 
      0.9264        0.913 
     0.92788       0.9143 
     0.92614       0.9119 
     0.92904       0.9153 
     0.92824       0.9092 
     0.92634        0.912 
     0.92882       0.9118 
     0.92956       0.9165 
     0.92758       0.9163 
      0.9303       0.9128 
      0.9302       0.9144 
     0.92916       0.9114 
     0.93064        0.911 
     0.92946       0.9152 
     0.92966         0.91 
     0.93102       0.9118 
     0.93188       0.9128 
     0.93182       0.9109 
       0.933       0.9151 
      0.9415       0.9187 
      0.9436       0.9178 
     0.94402       0.9184 
      0.9436       0.9187 
     0.94596       0.9182 
     0.94676       0.9209 
     0.94702       0.9214 
     0.94606       0.9194 
     0.94764       0.9181 
     0.94686       0.9191 
      0.9485       0.9184 
      0.9485       0.9183 
     0.94822       0.9195 
     0.94818       0.9196 
     0.94928         0.92 
     0.94822       0.9207 
     0.94948       0.9213 
     0.94824       0.9208 
      0.9486       0.9204 
     0.94704       0.9179 
     0.94938       0.9213 
     0.94912       0.9187 
     0.94926       0.9178 
     0.95022       0.9196 
     0.94972       0.9199 
     0.94914       0.9191 
     0.94968       0.9216 
     0.95038       0.9191 
     0.94992       0.9195 
     0.94868       0.9195 
     0.94956       0.9193 
     0.95186       0.9188 
     0.95078       0.9207 
     0.95036       0.9208 
     0.95102       0.9196 
     0.95116       0.9219 
     0.95072        0.921 
     0.95078       0.9213 
     0.95144       0.9203 
     0.95204       0.9232 
     0.95248       0.9201 
      0.9529       0.9222 
       0.954       0.9214 
     0.95386       0.9216 
     0.95246       0.9211 
      0.9546       0.9206 
     0.95404       0.9219 
     0.95418       0.9205 
      0.9556       0.9224 
     0.95498       0.9215 
     0.95572       0.9202 
     0.95466       0.9204 
     0.95578       0.9199 
     0.95456       0.9213 
     0.95404       0.9221 
     0.95566       0.9217 
     0.95566       0.9223 
     0.95558       0.9215 
     0.95508       0.9201 
     0.95468       0.9226 
     0.95652       0.9217 
      0.9561       0.9205 
      0.9561        0.922 
     0.95598       0.9223 
      0.9547       0.9227 
     0.95606       0.9219 
     0.95472       0.9218 
     0.95614       0.9226 
     0.95574       0.9221 
     0.95626       0.9223 
     0.95596       0.9219 
     0.95646       0.9226 
     0.95626       0.9216 
     0.95566        0.921 
     0.95574       0.9211 
     0.95482       0.9212 
     0.95636       0.9224 
     0.95616       0.9214 
     0.95472       0.9226 
     0.95502       0.9235 
