#      Train        Test
     0.15772          0.1 
      0.1671       0.1378 
     0.15972       0.1023 
     0.16088       0.1222 
      0.1617       0.1077 
     0.15956        0.152 
     0.16438       0.1391 
     0.15812       0.1012 
     0.15458       0.1329 
      0.1612       0.1002 
     0.16376          0.1 
      0.1607         0.14 
     0.16202       0.1062 
     0.15006       0.1505 
     0.16372       0.1166 
     0.16278       0.1001 
     0.16306       0.0997 
     0.16192       0.1348 
     0.16186       0.1054 
     0.15366       0.1345 
     0.16234        0.132 
     0.15886       0.1061 
     0.16182       0.1303 
     0.15984       0.1496 
     0.14562          0.1 
      0.1617       0.1105 
     0.16092          0.1 
     0.16316       0.0762 
     0.16122       0.1367 
     0.15858       0.0996 
      0.1656       0.1097 
     0.14564       0.1066 
     0.16202       0.1252 
      0.1574       0.1027 
     0.16092          0.1 
     0.16266       0.1212 
     0.15696       0.1312 
     0.15338       0.1001 
     0.16398          0.1 
     0.16076       0.1693 
     0.16082          0.1 
     0.15662          0.1 
      0.1577       0.1869 
     0.16064       0.0989 
     0.15324        0.146 
     0.16142       0.1054 
     0.16352       0.1001 
      0.1594         0.14 
     0.15914       0.0958 
      0.1558       0.0913 
     0.16118       0.1035 
      0.1555        0.141 
     0.16398       0.1339 
     0.15104       0.1372 
     0.16256          0.1 
     0.15546        0.101 
      0.1618       0.1277 
     0.15824        0.103 
     0.15968        0.207 
     0.16138       0.1622 
     0.23422       0.0957 
      0.2471       0.1743 
     0.24568       0.1134 
     0.24726       0.2425 
        0.24       0.2125 
      0.2421       0.2013 
     0.24308       0.2644 
     0.24496       0.1977 
     0.24378       0.1065 
     0.24076          0.1 
     0.23772        0.206 
       0.248       0.1514 
     0.23824       0.1977 
     0.23812       0.2027 
     0.24066       0.1891 
     0.24212       0.1532 
     0.24156       0.1487 
     0.24576        0.185 
      0.2427       0.2221 
      0.2435       0.1004 
     0.24752       0.1863 
     0.24086       0.1333 
     0.23982       0.1605 
     0.24348       0.2317 
     0.23818       0.1099 
     0.24076       0.1896 
     0.24462       0.1701 
      0.2462       0.1085 
     0.24734       0.2103 
     0.24778       0.1376 
     0.24478       0.1333 
     0.24474       0.2335 
     0.24484       0.2479 
     0.24324       0.1957 
     0.24892        0.187 
      0.2513       0.1193 
     0.24778       0.1505 
      0.2398       0.1345 
     0.24248       0.1668 
     0.24414       0.1134 
     0.24794       0.1731 
     0.24328       0.1893 
     0.24594       0.1514 
     0.24456       0.2128 
     0.23998       0.1895 
     0.24716       0.2106 
     0.24576       0.1819 
     0.24498       0.1951 
      0.2493       0.1978 
     0.24676       0.1697 
     0.24426       0.1647 
     0.24558       0.1622 
     0.24058        0.164 
     0.24768       0.1211 
     0.24552        0.166 
     0.24868       0.1323 
      0.2497       0.1859 
     0.24198       0.1069 
     0.24592       0.2319 
      0.2457       0.1414 
     0.35922       0.2584 
     0.44394       0.2926 
     0.47768       0.3436 
     0.49488       0.3654 
     0.50694       0.4116 
     0.51868       0.3753 
     0.53584       0.3021 
      0.5464       0.3724 
     0.55368       0.3582 
     0.56262       0.4945 
     0.57568       0.4454 
     0.58118       0.3671 
     0.58786       0.5193 
     0.59586         0.55 
      0.6036       0.4247 
      0.6052       0.4542 
     0.61682       0.5377 
     0.61848       0.5961 
     0.62438       0.5452 
     0.62934       0.6155 
     0.63422       0.5343 
     0.63422        0.559 
      0.6401       0.5534 
     0.64098       0.5847 
     0.64388       0.6256 
     0.64378       0.5234 
     0.64444       0.5941 
     0.64606       0.5362 
      0.6512       0.4683 
     0.65034       0.4539 
      0.6494       0.5191 
     0.65298       0.4693 
     0.65952       0.5084 
     0.65852       0.5926 
     0.65794       0.5583 
      0.6609       0.5573 
     0.65916       0.6483 
     0.66238        0.638 
     0.66284       0.6098 
     0.66514        0.538 
     0.73116       0.7545 
     0.74334       0.7649 
      0.7493       0.7878 
     0.75468       0.7715 
     0.75778       0.7663 
     0.76128       0.7832 
       0.764         0.79 
      0.7689         0.79 
     0.77262       0.7845 
     0.77586        0.795 
     0.77764       0.7874 
     0.77882       0.7711 
     0.78232       0.8075 
     0.78306       0.7782 
     0.78662       0.7986 
     0.78878       0.7995 
     0.78944       0.8013 
      0.7908       0.8038 
      0.7901       0.8081 
     0.79248       0.7712 
     0.79336       0.7759 
     0.79534       0.8066 
     0.79646       0.7975 
     0.79888       0.7928 
     0.79866        0.813 
     0.79854       0.8068 
     0.79894       0.8016 
     0.80254       0.8081 
     0.80204       0.8248 
     0.80196       0.7992 
     0.80312       0.8043 
     0.80528       0.7845 
     0.80278       0.8219 
     0.80688       0.8242 
     0.81004       0.8303 
       0.805       0.7893 
     0.80838       0.8024 
     0.81096       0.8172 
      0.8074       0.7951 
       0.811       0.8202 
