#      Train        Test
     0.39262       0.4984 
     0.55146       0.5668 
     0.60568       0.6114 
     0.63838       0.6493 
      0.6648       0.6452 
     0.68738       0.6575 
     0.70068       0.7292 
      0.7136       0.7468 
     0.72602       0.6717 
     0.73168       0.6779 
     0.73712       0.7108 
     0.73988       0.7479 
     0.74652       0.7657 
     0.74686       0.7097 
      0.7526       0.7676 
     0.75666       0.7549 
     0.75896       0.7659 
     0.75676       0.7534 
     0.76456       0.7499 
     0.76306       0.7801 
      0.7672        0.775 
      0.7671       0.7784 
       0.769       0.7802 
     0.77092       0.7502 
     0.77032       0.7881 
     0.77484       0.8175 
      0.7729       0.7935 
     0.77604       0.8109 
     0.77604       0.7843 
     0.77534       0.7786 
     0.77448       0.7941 
     0.77968       0.7908 
     0.77742       0.7624 
     0.77708       0.7447 
     0.77654       0.8212 
     0.77954       0.7964 
     0.77832       0.8069 
     0.78278       0.8027 
     0.78096       0.7569 
       0.783       0.7995 
     0.78168       0.7979 
     0.78192       0.7764 
     0.78326       0.7862 
      0.7841       0.8215 
     0.78256       0.7606 
      0.7856       0.8004 
     0.78414       0.8153 
     0.78472       0.7912 
     0.78576       0.7635 
      0.7846        0.791 
     0.78834       0.7724 
     0.78592       0.8047 
     0.78578       0.7784 
      0.7876       0.7937 
     0.78462       0.7808 
     0.78704       0.7845 
     0.78528       0.7116 
     0.78508       0.7727 
     0.78736       0.7937 
     0.78748       0.8066 
     0.84294       0.8778 
     0.85526        0.878 
     0.86072       0.8751 
     0.86498       0.8832 
     0.86624       0.8847 
     0.86444       0.8922 
     0.86842        0.889 
     0.86978       0.8876 
     0.86778       0.8771 
     0.86636       0.8752 
     0.86864       0.8803 
     0.86956       0.8857 
     0.86868       0.8714 
      0.8662       0.8755 
      0.8661       0.8802 
     0.86692       0.8713 
     0.86796       0.8843 
     0.86872       0.8698 
     0.86816        0.859 
     0.86864       0.8879 
     0.86828        0.878 
     0.87006       0.8832 
     0.86602       0.8798 
      0.8664       0.8787 
     0.86954       0.8768 
     0.86846       0.8832 
     0.86906       0.8702 
     0.87158        0.882 
     0.87094       0.8812 
     0.87258        0.882 
      0.8728       0.8917 
     0.86886        0.872 
      0.8719       0.8775 
     0.86988       0.8882 
     0.87292       0.8864 
     0.87174       0.8793 
     0.87542       0.8805 
     0.87354       0.8708 
       0.875       0.8716 
     0.87576        0.868 
     0.87466       0.8745 
     0.87304       0.8844 
      0.8744       0.8781 
     0.87626       0.8786 
      0.8745       0.8983 
     0.87558       0.8708 
     0.87564       0.8969 
     0.87326       0.8778 
     0.87588       0.8777 
     0.87636       0.8927 
     0.87528       0.8751 
     0.87608       0.8896 
     0.87902        0.868 
      0.8779       0.8827 
     0.87584       0.8795 
     0.87656       0.8833 
     0.87698       0.8874 
      0.8776       0.8852 
      0.8765       0.8749 
      0.8791       0.8758 
     0.91016       0.9169 
      0.9164       0.9174 
     0.91878       0.9192 
     0.92066       0.9161 
     0.92402       0.9195 
     0.92422       0.9207 
     0.92704       0.9172 
     0.92894       0.9207 
     0.92808       0.9212 
     0.92886       0.9237 
      0.9312       0.9193 
     0.93098       0.9191 
     0.92948       0.9213 
     0.92942       0.9219 
     0.93044       0.9175 
     0.93176       0.9203 
     0.93118       0.9192 
     0.93112       0.9193 
     0.93118       0.9194 
      0.9324       0.9174 
     0.93294       0.9189 
     0.93242       0.9202 
     0.93216       0.9225 
     0.93336       0.9212 
     0.93274       0.9216 
     0.93472       0.9178 
     0.93294       0.9187 
      0.9345       0.9165 
     0.93148       0.9186 
      0.9323       0.9235 
     0.93512       0.9212 
     0.93486        0.918 
     0.93254       0.9199 
     0.93356       0.9185 
     0.93404       0.9178 
     0.93458       0.9223 
     0.93314       0.9246 
     0.93342         0.92 
      0.9344       0.9188 
     0.93348       0.9171 
     0.94512       0.9258 
     0.95054       0.9273 
      0.9526       0.9257 
     0.95106       0.9267 
     0.95198       0.9288 
     0.95296       0.9286 
     0.95582       0.9314 
      0.9556       0.9295 
      0.9533         0.93 
     0.95478       0.9282 
     0.95546       0.9291 
      0.9552       0.9268 
     0.95472       0.9284 
     0.95536       0.9309 
     0.95586       0.9297 
      0.9578       0.9297 
      0.9583       0.9302 
     0.95674       0.9295 
     0.95606       0.9281 
     0.95702       0.9302 
      0.9574       0.9301 
     0.95748       0.9296 
       0.958       0.9295 
     0.95674       0.9292 
     0.95754       0.9318 
      0.9585       0.9291 
     0.95824       0.9315 
     0.95838       0.9299 
     0.95868       0.9295 
     0.95926       0.9311 
     0.96092       0.9323 
     0.95946       0.9324 
     0.95864       0.9308 
     0.96026       0.9285 
     0.96068       0.9305 
     0.96018       0.9332 
      0.9613       0.9329 
      0.9595       0.9319 
      0.9599       0.9304 
       0.959       0.9313 
