#      Train        Test
     0.16606       0.1176 
     0.16364       0.0939 
     0.16042       0.1104 
     0.16498        0.105 
     0.16234       0.0987 
     0.16448       0.1343 
     0.16144         0.12 
     0.15402       0.0991 
     0.16582       0.1168 
     0.15912       0.1021 
     0.15956          0.1 
     0.15732       0.1169 
     0.16346       0.1577 
     0.16226        0.118 
     0.16316       0.0984 
      0.1599       0.1044 
     0.16022       0.1522 
      0.1555       0.1003 
     0.16198       0.1053 
     0.16258       0.1031 
     0.15848       0.1291 
      0.1606       0.1024 
      0.1462       0.1029 
     0.16378       0.1159 
     0.16916         0.11 
     0.15226       0.1108 
     0.15868       0.1161 
     0.16918       0.1018 
     0.15522       0.1207 
     0.16268       0.1013 
      0.1647       0.1749 
     0.15768       0.1049 
      0.1633       0.1387 
     0.15872       0.0995 
     0.16414       0.1065 
     0.15786       0.1158 
      0.1539       0.0933 
     0.15758       0.1184 
     0.15194       0.0999 
     0.16936       0.1497 
     0.16282          0.1 
     0.15484       0.1332 
     0.15648       0.0737 
      0.1641       0.1038 
     0.15824       0.1383 
     0.16198       0.1086 
     0.16284       0.1329 
      0.1651          0.1 
      0.1564          0.1 
     0.15754       0.0905 
     0.16108       0.0762 
     0.15912       0.0999 
     0.15682       0.1289 
     0.16342       0.1475 
     0.15844       0.1437 
     0.15602       0.1368 
     0.15986       0.0846 
     0.16562       0.1448 
     0.15528          0.1 
     0.16426       0.1056 
     0.22336       0.1615 
     0.23062       0.1547 
       0.244        0.116 
     0.24248       0.2051 
     0.24208       0.1438 
     0.24362        0.197 
     0.24066        0.174 
      0.2381       0.1094 
     0.23908       0.2079 
     0.24282       0.2176 
     0.24558       0.1462 
       0.242       0.1234 
     0.24408       0.1559 
     0.24586       0.1185 
     0.24402       0.2434 
     0.24336       0.1621 
      0.2474       0.2251 
     0.25622       0.1667 
     0.24806       0.1784 
     0.24272       0.1999 
     0.24612       0.1486 
     0.24126       0.1667 
      0.2462       0.1544 
     0.24372       0.1185 
     0.24128       0.1309 
     0.24058       0.1974 
     0.24058       0.1897 
     0.24986       0.1724 
     0.24596       0.1441 
     0.23842       0.1015 
     0.23894       0.1044 
     0.24398       0.1648 
     0.24788       0.1728 
     0.24778       0.1877 
     0.24912         0.21 
     0.25018       0.1538 
     0.24694       0.1947 
     0.25086       0.1877 
     0.24784       0.1836 
      0.2468        0.124 
     0.24606        0.153 
     0.24562       0.1856 
     0.24534       0.1938 
      0.2472       0.2348 
     0.24636          0.1 
     0.24728       0.1937 
     0.24642       0.1182 
     0.24752       0.1504 
     0.24554        0.182 
     0.24346       0.1728 
     0.24646        0.148 
      0.2391       0.1323 
       0.241       0.1094 
     0.24538       0.1464 
     0.24356       0.1795 
      0.2428       0.1241 
     0.24554       0.1548 
     0.24868       0.2106 
     0.24724        0.188 
     0.25392       0.1618 
     0.35178       0.2894 
     0.43556        0.287 
      0.4739       0.3789 
     0.49726        0.337 
     0.51026        0.426 
     0.52512       0.5081 
     0.53516       0.3894 
     0.54408       0.2265 
     0.55136       0.4756 
     0.56038        0.496 
     0.56684       0.4502 
       0.576       0.5218 
     0.58202       0.4682 
     0.59544        0.501 
      0.5972       0.5415 
     0.60432       0.5269 
     0.61238       0.4158 
     0.61646       0.5399 
     0.62114       0.5422 
     0.62496       0.5325 
     0.62722       0.5822 
      0.6322       0.5208 
     0.63468       0.5746 
     0.63664       0.6278 
     0.64132       0.6355 
     0.64462       0.5777 
      0.6471       0.4239 
     0.64576       0.5306 
     0.64926        0.617 
     0.64926       0.6369 
     0.65282       0.5434 
     0.65798       0.6043 
     0.65648       0.5935 
     0.65964       0.6182 
     0.66188        0.635 
     0.66222       0.4228 
     0.66036       0.5376 
     0.66476       0.5849 
     0.66682       0.5637 
      0.6665       0.5396 
     0.73314       0.7676 
     0.74636       0.7678 
     0.75196       0.7758 
     0.75722       0.7839 
     0.76082       0.7841 
     0.76316       0.7749 
     0.76826        0.779 
     0.77348       0.7678 
     0.77472       0.7706 
       0.779       0.7825 
     0.78158       0.7962 
     0.78152       0.7884 
     0.78538       0.8011 
     0.78788       0.7917 
     0.79094       0.8033 
     0.79002       0.7668 
     0.79026       0.8046 
     0.79454       0.8199 
     0.79496       0.8148 
     0.79826       0.8171 
     0.79912       0.7818 
     0.79946       0.8129 
     0.80036       0.8074 
     0.80312       0.8083 
     0.80074       0.8198 
     0.80388       0.7913 
     0.80502       0.8197 
     0.80648       0.8271 
     0.80636       0.8134 
     0.80816       0.7983 
       0.809       0.8099 
       0.808       0.8144 
      0.8079       0.8157 
     0.81024        0.792 
      0.8089        0.803 
     0.81412       0.7777 
      0.8138       0.8244 
     0.81226       0.8153 
     0.81418       0.8186 
     0.81308       0.8039 
