#      Train        Test
     0.40538       0.5071 
     0.55654       0.5763 
     0.61272       0.6206 
     0.64624       0.6739 
     0.67398       0.7157 
      0.6967       0.6993 
     0.70794       0.6777 
     0.72338       0.7655 
     0.73338        0.775 
     0.74228       0.7305 
      0.7507       0.7711 
     0.75836       0.7894 
       0.766       0.7784 
     0.77258       0.8055 
     0.77588       0.7956 
     0.78188        0.813 
     0.79054       0.8046 
     0.79226       0.7812 
     0.79846       0.8078 
     0.79992       0.8312 
     0.80106       0.8166 
      0.8037       0.7987 
     0.81076       0.8481 
     0.81386        0.838 
     0.81246       0.8455 
     0.81854        0.841 
     0.81912       0.8415 
     0.82244        0.849 
     0.82544        0.841 
     0.82468       0.8433 
      0.8305       0.8391 
     0.83122        0.858 
     0.83298       0.8577 
     0.83664       0.8542 
       0.839       0.8522 
     0.84166       0.8363 
     0.84286       0.8492 
      0.8427       0.8651 
     0.84224       0.8595 
     0.84688       0.8639 
     0.85204       0.8589 
     0.85074       0.8594 
     0.85488        0.865 
     0.85442       0.8742 
     0.85836       0.8792 
     0.85928       0.8735 
     0.86274       0.8748 
     0.86108       0.8721 
     0.86338       0.8666 
      0.8666       0.8692 
     0.87046       0.8748 
      0.8737       0.8802 
     0.87046       0.8832 
     0.87888       0.8845 
     0.87998       0.8806 
     0.88206       0.8875 
     0.88324       0.8933 
     0.88808       0.8837 
     0.88572        0.895 
     0.88932       0.8869 
     0.88768        0.897 
     0.89226       0.8928 
     0.89128        0.895 
     0.89284       0.8864 
     0.89596       0.8953 
     0.89516       0.8936 
     0.89626       0.9008 
     0.89716       0.8959 
     0.89782        0.899 
     0.89694       0.8941 
     0.89618       0.8906 
      0.8958       0.8994 
     0.89752       0.8909 
     0.89752       0.8964 
      0.8977       0.9018 
     0.89914       0.8961 
     0.90178       0.8966 
     0.89736       0.9019 
     0.90064       0.8968 
     0.90292       0.8957 
      0.9009       0.8926 
     0.90488       0.8978 
     0.90184       0.9019 
     0.90682       0.9004 
     0.90566       0.9036 
     0.90284       0.8966 
     0.90186       0.8981 
     0.90254       0.9036 
      0.9048       0.8958 
     0.90388       0.8978 
     0.90336       0.9031 
     0.90278       0.9023 
     0.90366       0.8977 
     0.90694       0.9011 
     0.90704       0.9014 
      0.9074       0.9008 
     0.90888       0.8994 
     0.90942       0.9027 
     0.90958       0.8942 
     0.90908       0.9027 
     0.90924       0.9004 
      0.9055       0.9031 
     0.90834       0.9042 
     0.91026       0.9025 
     0.90972       0.9008 
        0.91       0.8946 
     0.91034        0.901 
     0.91042       0.8968 
       0.911          0.9 
     0.91116        0.904 
     0.91184       0.8963 
     0.91202       0.8978 
     0.90968       0.8963 
     0.91026       0.9013 
     0.90748       0.9009 
     0.91294       0.8975 
     0.91212       0.9002 
     0.91344       0.9007 
     0.91262       0.9015 
      0.9105       0.9003 
      0.9126       0.8965 
     0.91256        0.903 
      0.9121       0.9044 
      0.9115       0.8962 
     0.91416       0.9037 
     0.91312       0.8964 
     0.91434       0.9038 
     0.91402        0.903 
       0.916       0.9015 
     0.91376       0.8947 
     0.91328       0.9015 
     0.91494       0.8922 
     0.91408       0.8965 
     0.91336       0.9027 
     0.91368       0.9015 
     0.91346       0.9001 
      0.9182       0.9008 
     0.91858       0.8992 
     0.91468       0.8976 
     0.91516       0.9009 
     0.91868        0.902 
     0.91588       0.8991 
     0.91524       0.9043 
     0.91816       0.9024 
      0.9193       0.8989 
     0.91914       0.9058 
     0.91656       0.9032 
      0.9162       0.8994 
     0.91908       0.9048 
     0.92004       0.9046 
      0.9146       0.9004 
     0.91762       0.9017 
     0.92158       0.9054 
     0.91996       0.9029 
     0.91898       0.8978 
       0.917       0.9035 
     0.91968       0.8969 
     0.91772       0.9036 
     0.91792       0.9039 
     0.91678       0.8983 
     0.91924       0.8991 
      0.9184       0.9017 
     0.91978        0.904 
      0.9192       0.9012 
     0.92054        0.899 
     0.92018       0.9033 
     0.92078       0.8985 
     0.91976       0.8981 
     0.92032        0.896 
     0.92382       0.9061 
     0.92176       0.9045 
     0.92264       0.9028 
     0.92356       0.9056 
     0.92254       0.9033 
     0.92554       0.9054 
     0.92424       0.9014 
      0.9232       0.9084 
     0.92384       0.8999 
      0.9232       0.8966 
     0.92392       0.9061 
     0.92462       0.9021 
      0.9246       0.9021 
      0.9224        0.901 
     0.92306       0.9028 
     0.92652       0.9021 
     0.92306       0.9023 
     0.92484       0.9001 
     0.92408       0.9048 
     0.92472       0.8971 
      0.9228       0.8965 
     0.92356       0.8995 
      0.9274       0.9021 
     0.92614       0.9056 
     0.92716       0.9048 
      0.9272       0.9098 
     0.92524       0.9007 
     0.92638       0.9036 
     0.92748       0.9089 
     0.92698       0.8967 
     0.92504       0.9041 
     0.92626       0.9063 
     0.92724       0.9026 
     0.92818       0.9042 
     0.92554       0.8993 
      0.9284       0.8977 
     0.92846       0.9056 
     0.92936       0.9053 
      0.9285       0.9034 
     0.92952       0.9022 
     0.92576       0.9011 
     0.93006       0.9039 
     0.92826       0.8971 
     0.92814       0.9049 
     0.92954        0.904 
      0.9293       0.9009 
     0.92724       0.8995 
      0.9303       0.9023 
     0.92984       0.9071 
     0.92844       0.9027 
     0.92866       0.9051 
      0.9301        0.904 
     0.93222       0.9015 
     0.93264       0.9039 
      0.9308       0.9061 
     0.93076       0.9035 
     0.93498       0.9082 
     0.93346       0.9035 
     0.93394       0.9076 
     0.93264       0.9084 
     0.93346       0.9045 
     0.93314       0.9044 
     0.93264       0.9054 
      0.9332       0.9048 
      0.9349       0.9083 
     0.93414       0.9068 
      0.9329       0.9016 
      0.9319       0.9054 
     0.93366       0.9009 
     0.93484       0.9011 
     0.93354       0.9016 
     0.93358       0.9056 
     0.93486       0.9091 
      0.9347       0.9004 
     0.93386       0.9079 
     0.93552        0.904 
     0.93482       0.9068 
      0.9343       0.9025 
      0.9362       0.9051 
     0.93602       0.8991 
     0.93428       0.9073 
     0.93522       0.9012 
     0.93586       0.9069 
     0.93544       0.9068 
     0.93616       0.9028 
     0.93642       0.9049 
     0.93704       0.9042 
      0.9364       0.8986 
      0.9371       0.9054 
     0.93588       0.8957 
     0.93786       0.9017 
       0.938       0.9079 
     0.93718       0.9049 
     0.93764       0.9028 
     0.93554       0.9041 
     0.93902       0.9063 
     0.93714       0.9062 
     0.93732       0.9041 
     0.93918       0.9099 
     0.93958       0.9035 
     0.93876       0.9044 
     0.93924       0.9032 
      0.9403       0.9051 
     0.94006       0.9073 
     0.93826       0.9056 
      0.9384       0.9074 
     0.93994       0.9027 
     0.94152       0.9055 
     0.93958       0.9029 
     0.93834       0.9007 
     0.94004       0.9051 
     0.94172       0.9077 
     0.94022        0.904 
      0.9425       0.9077 
      0.9429       0.8983 
      0.9428        0.908 
     0.94228       0.9038 
     0.94216       0.9049 
     0.94306        0.905 
     0.94188       0.9064 
     0.94148       0.9089 
     0.94288        0.906 
     0.94264       0.9079 
     0.94214       0.9086 
     0.94204       0.9087 
     0.94346       0.9083 
     0.94184       0.9078 
     0.94194       0.9071 
     0.94354       0.9035 
     0.94432       0.9043 
     0.94348       0.9091 
     0.94322       0.9076 
     0.94178       0.9072 
      0.9431       0.9026 
     0.94362       0.9065 
     0.94442       0.9039 
     0.94558       0.9085 
     0.94424        0.903 
     0.94424       0.9054 
     0.94354       0.9048 
     0.94522       0.9095 
     0.94758       0.9023 
     0.94644       0.9092 
     0.94628       0.9027 
      0.9455       0.9052 
     0.94498       0.9099 
     0.94566        0.902 
     0.94796       0.9063 
     0.94598       0.9046 
     0.94714        0.906 
     0.94502       0.9089 
     0.94722       0.9073 
     0.94688       0.9086 
     0.94362        0.904 
     0.94958       0.9085 
     0.94794       0.9079 
